timestamp_utc,timestamp_unix,origin_set,gps_healthy,gps_message_type,gps_time_usec,gps_time_boot_ms,gps_fix_type,gps_satellites_visible,gps_hdop,gps_vdop,gps_latitude_deg,gps_longitude_deg,gps_altitude_m,gps_alt_ellipsoid_m,gps_relative_alt_m,gps_speed_mps,gps_speed_knots,gps_speed_kmph,gps_course_deg,gps_heading_deg,gps_vn_mps,gps_ve_mps,gps_vd_mps,gps_hacc_m,gps_vacc_m,gps_vel_acc_mps,gps_hdg_acc_deg,gps_yaw_deg,of_latitude_deg,of_longitude_deg,of_altitude_m,of_heading_deg,imu_ax_mps2,imu_ay_mps2,of_distance_mm,of_distance_m,of_strength,of_precision,of_distance_status,of_status,of_quality,of_ok,of_raw_vx_cms_at_1m,of_raw_vy_cms_at_1m,of_body_vx_mps,of_body_vy_mps,of_vn_mps,of_ve_mps,of_speed_mps
2026-03-17T09:20:36.803155+00:00,1773739236.803024,True,True,GPS_RAW_INT,91848000,91935,4,21,0.6,0.96,12.8878701,77.6430058,952.35,865.75,0.164,0.03,0.05831532,0.108,124.47,124.47,0.1,-0.01,0.02,0.726,0.57,0.073,0.0,0.0,12.8878689,77.6430041,1003.3149176330766,337.12816986006635,0.2353596,0.3530394,138,0.138,255,0,1,1,128,True,0,0,-0.0,0.0,6.942228430809494e-06,4.584183035851743e-06,8.319210881551841e-06
2026-03-17T09:20:36.903361+00:00,1773739236.903131,True,True,GPS_RAW_INT,91848000,92035,4,21,0.6,0.96,12.8878701,77.6430058,952.35,865.75,0.167,0.03,0.05831532,0.108,124.47,124.47,0.1,0.0,0.01,0.726,0.57,0.073,0.0,0.0,12.8878689,77.6430041,1003.2474730386814,337.1346061751584,0.24516625,0.3530394,138,0.138,255,0,1,1,128,True,0,0,-0.0,0.0,0.016297280602005533,0.010325413591146696,0.01929288783071997
2026-03-17T09:20:37.003311+00:00,1773739237.003242,True,True,GPS_RAW_INT,92048000,92135,4,21,0.6,0.96,12.8878701,77.6430059,952.36,865.761,0.171,0.01,0.019438439999999998,0.036000000000000004,124.47,124.47,0.09,0.0,0.01,0.718,0.567,0.092,0.0,0.0,12.8878689,77.6430041,1003.3461875364504,337.141693817719,0.2353596,0.3530394,137,0.137,255,0,1,1,128,True,0,0,-0.0,0.0,0.028711846071510196,0.01872397106188816,0.03427764865273755
2026-03-17T09:20:37.103404+00:00,1773739237.103323,True,True,GPS_RAW_INT,92048000,92235,4,21,0.6,0.96,12.8878701,77.6430059,952.36,865.761,0.175,0.01,0.019438439999999998,0.036000000000000004,124.47,124.47,0.09,0.0,0.01,0.718,0.567,0.092,0.0,0.0,12.8878689,77.6430041,1003.2247872203246,337.14821431979715,0.24516625,0.36284605000000003,135,0.135,255,0,1,1,127,True,0,0,-0.0,0.0,0.038593041572616366,0.02516381577820699,0.04607212261601623
2026-03-17T09:20:37.203462+00:00,1773739237.203395,True,True,GPS_RAW_INT,92248000,92335,4,21,0.6,0.96,12.88787,77.643006,952.36,865.76,0.179,0.01,0.019438439999999998,0.036000000000000004,124.47,124.47,0.09,0.0,0.01,0.71,0.564,0.058,0.0,0.0,12.8878689,77.6430041,1003.0042971370551,337.1537577113155,0.24516625,0.36284605000000003,133,0.133,255,0,1,1,127,True,0,0,-0.0,0.0,0.04535353501667652,0.029573107318219705,0.05414343741363161
2026-03-17T09:20:37.303535+00:00,1773739237.303467,True,True,GPS_RAW_INT,92248000,92435,4,21,0.6,0.96,12.88787,77.643006,952.36,865.76,0.179,0.01,0.019438439999999998,0.036000000000000004,124.47,124.47,0.08,0.0,0.01,0.71,0.564,0.058,0.0,0.0,12.8878689,77.6430041,1003.3973236269221,337.1582013253145,0.2353596,0.3530394,135,0.135,255,0,1,1,127,True,0,0,-0.0,0.0,0.04901693295120453,0.03215591992171745,0.05862305776701507
2026-03-17T09:20:37.403780+00:00,1773739237.403667,True,True,GPS_RAW_INT,92448000,92535,4,21,0.6,0.96,12.88787,77.6430061,952.36,865.761,0.181,0.04,0.07775375999999999,0.14400000000000002,124.47,124.47,0.08,0.0,0.01,0.703,0.561,0.095,0.0,0.0,12.8878689,77.6430041,1003.4371788722058,337.16263242555794,0.24516625,0.36284605000000003,135,0.135,255,0,1,1,128,True,0,0,-0.0,0.0,0.052181014897648224,0.03414866918154273,0.06236176651297678
2026-03-17T09:20:37.503878+00:00,1773739237.503771,True,True,GPS_RAW_INT,92448000,92635,4,21,0.6,0.96,12.88787,77.6430061,952.36,865.761,0.184,0.04,0.07775375999999999,0.14400000000000002,124.47,124.47,0.08,0.0,0.01,0.703,0.561,0.095,0.0,0.0,12.8878689,77.6430041,1003.4230762308476,337.16792907933564,0.24516625,0.3530394,134,0.134,255,0,1,1,128,True,0,0,-0.0,0.0,0.05391032896654081,0.03483669479009302,0.06418659418584806
2026-03-17T09:20:37.603967+00:00,1773739237.603863,True,True,GPS_RAW_INT,92648000,92735,4,21,0.6,0.96,12.88787,77.6430061,952.36,865.761,0.189,0.03,0.05831532,0.108,124.47,124.47,0.07,0.0,0.01,0.696,0.559,0.103,0.0,0.0,12.8878689,77.6430041,1003.3621290891913,337.1727911184405,0.24516625,0.3530394,133,0.133,255,0,1,1,128,True,0,0,-0.0,0.0,0.0549832359548836,0.03527100621905574,0.06532380971571601
2026-03-17T09:20:37.704070+00:00,1773739237.703966,True,True,GPS_RAW_INT,92648000,92835,4,21,0.6,0.96,12.88787,77.6430061,952.36,865.761,0.194,0.03,0.05831532,0.108,124.47,124.47,0.07,0.0,0.01,0.696,0.559,0.103,0.0,0.0,12.8878689,77.6430041,1003.0312751165563,337.1772674672101,0.2353596,0.36284605000000003,133,0.133,255,0,1,1,128,True,0,0,-0.0,0.0,0.05532672912067302,0.036327330460012,0.06618702209303001
