timestamp_utc,timestamp_unix,origin_set,gps_healthy,gps_sentence_type,gps_raw_sentence,gps_talker,gps_fix_time_utc,gps_date_ddmmyy,gps_status,gps_mode,gps_fix_quality,gps_satellites,gps_hdop,gps_pdop,gps_vdop,gps_latitude_deg,gps_longitude_deg,gps_altitude_m,gps_geoid_separation_m,gps_speed_knots,gps_speed_kmph,gps_course_deg,gps_mag_var_deg,gps_nav_mode,state_lat,state_lon,state_baro_alt_m,state_heading_deg,imu_ax_mps2,imu_ay_mps2,flow_distance_mm,flow_distance_m,flow_strength,flow_precision,flow_distance_status,flow_status,flow_quality,flow_ok,flow_raw_vx_cms_at_1m,flow_raw_vy_cms_at_1m,flow_vx_mps,flow_vy_mps,flow_vn_mps,flow_ve_mps,flow_speed_mps
2026-03-16T07:00:59.900608+00:00,1773644459.900354,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.5085248017464,77.91030536144092,-0.0196133,0.34323275,161,0.161,255,0,1,1,70,True,80,0,-0.1288,-0.0,-0.029710913490654106,-0.1230285410061058,0.12656524120997908
2026-03-16T07:01:00.000839+00:00,1773644460.000548,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.3197689936446,77.90970286099872,-0.00980665,0.3530394,160,0.16,255,0,1,1,65,True,0,0,-0.0,-0.0,-0.0289083476099624,-0.05224669097644548,0.05971104821996184
2026-03-16T07:01:00.100769+00:00,1773644460.100631,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.7342195328049,77.90981953610117,-0.02941995,0.3530394,160,0.16,255,0,1,1,66,True,0,0,-0.0,-0.0,-0.0355565955379231,-0.026483871795462924,0.04433584274067619
2026-03-16T07:01:00.200787+00:00,1773644460.200715,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.4956549874948,77.90989265269621,-0.0196133,0.3530394,159,0.159,255,0,1,1,66,True,0,0,-0.0,-0.0,-0.041596270939884744,-0.01238889036716155,0.04340200871657726
2026-03-16T07:01:00.300906+00:00,1773644460.300814,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.5849608612023,77.91016793380533,-0.0196133,0.3530394,161,0.161,255,0,1,1,73,True,0,0,-0.0,-0.0,-0.04611151304915387,-0.0041599529810383215,0.04629877800208918
2026-03-16T07:01:00.400968+00:00,1773644460.400892,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.5832925837009,77.9107666390264,-0.0196133,0.34323275,160,0.16,255,0,1,1,68,True,-160,0,0.256,-0.0,-0.027533098313625874,0.09909717065451652,0.10285096370223352
2026-03-16T07:01:00.501095+00:00,1773644460.500972,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.5635104196941,77.91157642156332,0.0,0.3530394,161,0.161,255,0,1,1,70,True,0,0,-0.0,-0.0,-0.03777701485844205,0.06480349896945997,0.07501064144706238
2026-03-16T07:01:00.601288+00:00,1773644460.601096,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.8111122768674,77.91240560708991,0.0,0.34323275,163,0.163,255,0,1,1,68,True,0,0,-0.0,-0.0,-0.04347704465926104,0.0438541046817644,0.06175302348664824
2026-03-16T07:01:00.701397+00:00,1773644460.701206,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.4981063795577,77.912775908632,-0.0196133,0.34323275,164,0.164,255,0,1,1,69,True,0,0,-0.0,-0.0,-0.04721423290755618,0.02993521179018942,0.05590438886145216
2026-03-16T07:01:00.802682+00:00,1773644460.802429,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.9123992698912,77.91329630924997,-0.0588399,0.34323275,164,0.164,255,0,1,1,65,True,0,-20,-0.0,0.0328,-0.06271107568913672,0.021784089173843703,0.06638693813712611
2026-03-16T07:01:00.902785+00:00,1773644460.902554,True,False,,,,,,,,,,,,,,,,,,,,,,12.9716,77.5946,972.8664340736117,77.91398259978172,-0.04903325,0.3530394,165,0.165,255,0,1,1,63,True,-60,0,0.099,-0.0,-0.05176596354667333,0.052698754103709736,0.07387065497204405
