timestamp_utc,timestamp_unix,origin_set,gps_healthy,gps_sentence_type,gps_raw_sentence,gps_talker,gps_fix_time_utc,gps_date_ddmmyy,gps_status,gps_mode,gps_fix_quality,gps_satellites,gps_hdop,gps_pdop,gps_vdop,gps_latitude_deg,gps_longitude_deg,gps_altitude_m,gps_geoid_separation_m,gps_speed_knots,gps_speed_kmph,gps_course_deg,gps_heading_deg,gps_mag_var_deg,gps_nav_mode,of_latitude_deg,of_longitude_deg,of_altitude_m,of_heading_deg,imu_ax_mps2,imu_ay_mps2,of_distance_mm,of_distance_m,of_strength,of_precision,of_distance_status,of_status,of_quality,of_ok,of_raw_vx_cms_at_1m,of_raw_vy_cms_at_1m,of_body_vx_mps,of_body_vy_mps,of_vn_mps,of_ve_mps,of_speed_mps
2026-03-16T11:57:24.400079+00:00,1773662244.399915,True,True,GAGSV,"$GAGSV,2,2,07,15,33,334,38,27,32,296,36,34,28,034,37,7*4D",GA,115724.20,160326,A,A,1,12,0.57,1.14,0.99,12.887816166666669,77.64302816666667,948.2,-86.6,0.105,0.195,,,,3,12.887817833333335,77.6430275,1004.8785177255977,16.39119654812987,0.0,-0.0784532,154,0.154,255,0,1,1,136,True,0,0,-0.0,-0.0,4.3407728421126354e-07,-1.4757051838634738e-06,1.5382226361452868e-06
2026-03-16T11:57:24.505358+00:00,1773662244.505093,True,True,GNVTG,"$GNVTG,,T,,M,0.043,N,0.079,K,A*34",GN,115724.20,160326,A,A,1,12,0.57,1.14,0.99,12.887816166666669,77.64302816666667,948.2,-86.6,0.043,0.079,,,,3,12.887817833333335,77.6430275,1004.9585312687007,16.38954306122986,0.0,-0.08825985,154,0.154,255,0,1,1,134,True,0,0,-0.0,-0.0,0.0011677974610731531,-0.003970510599366611,0.004138684009413077
2026-03-16T11:57:24.605346+00:00,1773662244.605220,True,True,GPGSV,"$GPGSV,5,3,17,21,03,039,13,23,41,256,34,24,13,157,27,29,61,355,39,1*69",GP,115724.40,160326,A,A,1,12,0.57,1.14,0.99,12.887816000000003,77.64302833333333,948.2,-86.6,0.043,0.079,,,,3,12.887817833333335,77.6430275,1005.1208182790672,16.38688191770052,0.0,-0.0784532,157,0.157,255,0,1,1,135,True,0,0,-0.0,-0.0,0.001875225792825255,-0.006376483062760959,0.006646503443447125
2026-03-16T11:57:24.705527+00:00,1773662244.705385,True,True,GNGLL,"$GNGLL,1253.26896,N,07738.58170,E,115724.40,A,A*71",GN,115724.40,160326,A,A,1,12,0.57,1.14,0.99,12.887816000000003,77.64302833333333,948.2,-86.6,0.043,0.079,,,,3,12.887817833333335,77.6430275,1005.0039255078735,16.38374716437403,0.0,-0.06864655,154,0.154,255,0,1,1,136,True,0,0,-0.0,-0.0,0.0022489089280131676,-0.007648164639126784,0.007971951687867072
2026-03-16T11:57:24.805849+00:00,1773662244.805494,True,True,GBGSV,"$GBGSV,1,1,02,23,15,253,,42,56,039,,0*7B",GB,115724.60,160326,A,A,1,12,0.57,1.14,0.99,12.887816166666669,77.64302816666667,948.3,-86.6,0.102,0.188,,,,3,12.887817833333335,77.6430275,1004.96282531053,16.381253830307685,0.0,-0.0784532,154,0.154,255,0,1,1,136,True,0,0,-0.0,-0.0,0.002687909697069677,-0.00914244551697559,0.009529384480147092
2026-03-16T11:57:24.905751+00:00,1773662244.905625,True,True,GNGGA,"$GNGGA,115724.80,1253.26899,N,07738.58169,E,1,12,0.60,948.3,M,-86.6,M,,*69",GN,115724.80,160326,A,A,1,12,0.6,1.14,0.99,12.887816500000001,77.64302816666667,948.3,-86.6,0.001,0.003,,,,3,12.887817833333335,77.6430275,1004.7760782976379,16.37938130995792,0.0,-0.0784532,155,0.155,255,0,1,1,136,True,0,0,-0.0,-0.0,0.0029748857135266154,-0.010119761867071635,0.010547963085581117
2026-03-16T11:57:25.006531+00:00,1773662245.006432,True,True,GPGSV,"$GPGSV,1,1,01,25,40,222,,0*55",GP,115724.80,160326,A,A,1,12,0.6,1.16,1.0,12.887816500000001,77.64302816666667,948.3,-86.6,0.001,0.003,,,,3,12.887817833333335,77.6430275,1004.964665614666,16.377408589985748,0.0,-0.0784532,155,0.155,255,0,1,1,137,True,20,0,-0.031,-0.0,-0.008501534591691593,-0.014190715193401182,0.016542445046423937
2026-03-16T11:57:25.106714+00:00,1773662245.106604,True,True,GPGSV,"$GPGSV,1,1,01,25,40,222,,0*55",GP,115724.80,160326,A,A,1,12,0.6,1.16,1.0,12.887816500000001,77.64302816666667,948.3,-86.6,0.001,0.003,,,,3,12.887817833333335,77.6430275,1004.9067347374513,16.375080261121468,0.0,-0.0784532,153,0.153,255,0,1,1,135,True,0,0,-0.0,-0.0,-0.003826737308969308,-0.013229224017553288,0.013771575310706703
2026-03-16T11:57:25.209770+00:00,1773662245.209627,True,True,GQGSV,"$GQGSV,1,1,03,04,28,064,,07,32,101,,08,69,134,,0*5C",GQ,115725.00,160326,A,A,1,12,0.57,1.14,0.99,12.887816500000001,77.64302816666667,948.3,-86.6,0.057,0.105,,,,3,12.887817833333335,77.6430275,1005.0456392941329,16.37254596023297,0.0,-0.0784532,167,0.167,255,0,1,1,133,True,0,0,-0.0,-0.0,-0.0009391413361978737,-0.012726957825435483,0.012761561109040266
2026-03-16T11:57:25.310407+00:00,1773662245.310269,True,True,GQGSV,"$GQGSV,1,1,03,04,28,064,,07,32,101,,08,69,134,,0*5C",GQ,115725.00,160326,A,A,1,12,0.57,1.14,0.99,12.887816500000001,77.64302816666667,948.3,-86.6,0.057,0.105,,,,3,12.887817833333335,77.6430275,1004.9864788482531,16.36966829701231,0.0,-0.08825985,169,0.169,255,0,1,1,133,True,20,0,-0.033800000000000004,-0.0,-0.011765921746336255,-0.01665233217465814,0.020389631713105146
