timestamp_utc,timestamp_unix,origin_set,gps_healthy,gps_sentence_type,gps_raw_sentence,gps_talker,gps_fix_time_utc,gps_date_ddmmyy,gps_status,gps_mode,gps_fix_quality,gps_satellites,gps_hdop,gps_pdop,gps_vdop,gps_latitude_deg,gps_longitude_deg,gps_altitude_m,gps_geoid_separation_m,gps_speed_knots,gps_speed_kmph,gps_course_deg,gps_heading_deg,gps_mag_var_deg,gps_nav_mode,of_latitude_deg,of_longitude_deg,of_altitude_m,of_heading_deg,imu_ax_mps2,imu_ay_mps2,of_distance_mm,of_distance_m,of_strength,of_precision,of_distance_status,of_status,of_quality,of_ok,of_raw_vx_cms_at_1m,of_raw_vy_cms_at_1m,of_body_vx_mps,of_body_vy_mps,of_vn_mps,of_ve_mps,of_speed_mps
2026-03-16T12:22:13.810261+00:00,1773663733.810131,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1000.8697339861975,10.490269179632037,-0.0784532,0.1765197,170,0.17,255,0,1,1,111,True,0,0,-0.0,-0.0,-0.0010457474024502533,0.0015242628050782803,0.0018485033753489765
2026-03-16T12:22:13.910814+00:00,1773663733.910601,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.4527469148717,10.490823619780713,-0.46091255,0.1372931,167,0.167,255,0,1,1,111,True,0,0,-0.0,-0.0,-0.021993924391591767,0.0029819803034078006,0.02219515525228349
2026-03-16T12:22:14.010764+00:00,1773663734.010682,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.0180898322917,10.492066910748235,-0.16671305,0.196133,168,0.168,255,0,1,1,114,True,0,0,-0.0,-0.0,-0.023290789072267826,0.010678543961794611,0.025622102894822092
2026-03-16T12:22:14.110835+00:00,1773663734.110754,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.1053187896756,10.49125604194819,0.0784532,0.3334261,168,0.168,255,0,1,1,114,True,0,0,-0.0,-0.0,-0.012768634048506056,0.02649507362759953,0.02941134036382205
2026-03-16T12:22:14.210895+00:00,1773663734.210824,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.1639954193191,10.495031201773656,0.04903325,0.16671305,168,0.168,255,0,1,1,114,True,0,0,-0.0,-0.0,-0.006614894575191809,0.02637627674108075,0.027193102157771175
2026-03-16T12:22:14.310965+00:00,1773663734.310895,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.0456768783934,10.502803897827732,-0.2941995,0.1569064,169,0.169,255,0,1,1,113,True,0,0,-0.0,-0.0,-0.02331762573309485,0.022118362177254523,0.03213928460984922
2026-03-16T12:22:14.411255+00:00,1773663734.410997,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1000.7675239284016,10.51013852290032,-0.46091255,0.18632635,168,0.168,255,0,1,1,112,True,0,0,-0.0,-0.0,-0.04386218927065703,0.01949658934754181,0.048000090039515775
2026-03-16T12:22:14.511845+00:00,1773663734.511702,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1000.7675239284016,10.515329117593183,-0.32361945000000003,0.14709975,166,0.166,255,0,1,1,111,True,0,0,-0.0,-0.0,-0.04783654262992195,0.017108451781081467,0.050803877146630545
2026-03-16T12:22:14.612015+00:00,1773663734.611857,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1000.9851582965979,10.518922653500397,-0.1372931,0.2353596,169,0.169,255,0,1,1,110,True,0,0,-0.0,-0.0,-0.03999123802284814,0.02300730915431795,0.04613713681105989
2026-03-16T12:22:14.712061+00:00,1773663734.711957,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.1519119784151,10.521136324018528,0.1176798,0.2353596,168,0.168,255,0,1,1,110,True,0,0,-0.0,-0.0,-0.019931636889813358,0.029443315918548586,0.035555294983825196
2026-03-16T12:22:14.812150+00:00,1773663734.812040,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.2077014445068,10.525351016904779,0.12748645,0.32361945000000003,168,0.168,255,0,1,1,110,True,0,0,-0.0,-0.0,-0.00810755540875471,0.03877029799175416,0.03960894420551303
2026-03-16T12:22:14.912231+00:00,1773663734.912113,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.2383551147898,10.533274212506797,-0.10787315,0.2941995,166,0.166,255,0,1,1,111,True,0,0,-0.0,-0.0,-0.014690147893299874,0.040068235074428804,0.04267626866429057
2026-03-16T12:22:15.012346+00:00,1773663735.012205,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1000.8541313149157,10.541801134680213,-0.2353596,0.2353596,166,0.166,255,0,1,1,112,True,0,0,-0.0,-0.0,-0.025695490191975992,0.03590923471727706,0.04415576241201629
2026-03-16T12:22:15.112371+00:00,1773663735.112283,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.0190485918547,10.550898522391321,-0.4314926,0.1176798,166,0.166,255,0,1,1,114,True,0,0,-0.0,-0.0,-0.04284995719368746,0.024123624792683783,0.04917385590574564
2026-03-16T12:22:15.212491+00:00,1773663735.212359,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1000.8853979739654,10.559408640869606,-0.4118793,0.08825985,166,0.166,255,0,1,1,114,True,0,0,-0.0,-0.0,-0.05180097718744145,0.015391651294186577,0.05403928355498123
2026-03-16T12:22:15.312553+00:00,1773663735.312451,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.0887659926482,10.565215690851915,-0.2157463,0.02941995,162,0.162,255,0,1,1,116,True,0,0,-0.0,-0.0,-0.044839208776035935,0.008732059355020453,0.04568154445988597
2026-03-16T12:22:15.412956+00:00,1773663735.412665,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.2144452448186,10.569608725495073,-0.12748645,0.14709975,168,0.168,255,0,1,1,115,True,0,0,-0.0,-0.0,-0.03662430194358947,0.012723476870638453,0.03877146317245305
2026-03-16T12:22:15.513050+00:00,1773663735.512877,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.0723866659631,10.572170151272246,-0.0980665,0.3138128,162,0.162,255,0,1,1,114,True,0,0,-0.0,-0.0,-0.0317182068326701,0.025490707160732335,0.040691777993032585
2026-03-16T12:22:15.613323+00:00,1773663735.613202,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.1281773352471,10.57523423677253,-0.0196133,0.3138128,166,0.166,255,0,1,1,115,True,0,0,-0.0,-0.0,-0.024021170722365374,0.03416288905160225,0.041762658335229436
2026-03-16T12:22:15.713432+00:00,1773663735.713301,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.2162844637855,10.581003008101106,-0.08825985,0.42168595,166,0.166,255,0,1,1,113,True,0,0,-0.0,-0.0,-0.024652957946308018,0.04511353603979781,0.05141011057677825
