timestamp_utc,timestamp_unix,origin_set,gps_healthy,gps_sentence_type,gps_raw_sentence,gps_talker,gps_fix_time_utc,gps_date_ddmmyy,gps_status,gps_mode,gps_fix_quality,gps_satellites,gps_hdop,gps_pdop,gps_vdop,gps_latitude_deg,gps_longitude_deg,gps_altitude_m,gps_geoid_separation_m,gps_speed_knots,gps_speed_kmph,gps_course_deg,gps_heading_deg,gps_mag_var_deg,gps_nav_mode,of_latitude_deg,of_longitude_deg,of_altitude_m,of_heading_deg,imu_ax_mps2,imu_ay_mps2,of_distance_mm,of_distance_m,of_strength,of_precision,of_distance_status,of_status,of_quality,of_ok,of_raw_vx_cms_at_1m,of_raw_vy_cms_at_1m,of_body_vx_mps,of_body_vy_mps,of_vn_mps,of_ve_mps,of_speed_mps
2026-03-16T12:18:35.882486+00:00,1773663515.882354,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.6278536874893,359.18450725430966,-0.04903325,0.00980665,158,0.158,255,0,1,1,98,True,0,0,-0.0,-0.0,-0.0004678345441125262,0.0001005122012337576,0.0004785100451002367
2026-03-16T12:18:35.982738+00:00,1773663515.982508,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1002.0320642412465,359.1852227568721,-0.0392266,0.0,158,0.158,255,0,1,1,100,True,0,0,-0.0,-0.0,-0.0019702601542396503,7.008574662821335e-05,0.001971506299068021
2026-03-16T12:18:36.082907+00:00,1773663516.082655,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.6450277411765,359.1855774747826,-0.0392266,0.00980665,158,0.158,255,0,1,1,102,True,0,20,-0.0,-0.0316,-0.0034650417336321753,-0.013449570995276891,0.013888753514005715
2026-03-16T12:18:36.182810+00:00,1773663516.182736,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.9676594653682,359.1858730777967,-0.04903325,0.0,160,0.16,255,0,1,1,101,True,0,0,-0.0,-0.0,-0.004938187200991916,-0.007892225067092196,0.009309828641907368
2026-03-16T12:18:36.282933+00:00,1773663516.282805,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.8357841666725,359.1857794347819,-0.04903325,0.00980665,164,0.164,255,0,1,1,99,True,0,0,-0.0,-0.0,-0.0059208492060295265,-0.004120457645013127,0.007213503068890149
2026-03-16T12:18:36.382969+00:00,1773663516.382883,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.9043108888737,359.18555898889815,-0.0392266,0.0,168,0.168,255,0,1,1,99,True,0,0,-0.0,-0.0,-0.005974982300542111,-0.002466569173494029,0.0064640836148229484
2026-03-16T12:18:36.483126+00:00,1773663516.482970,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.6904164374698,359.18547182323323,-0.04903325,0.0,169,0.169,255,0,1,1,99,True,0,0,-0.0,-0.0,-0.006621761557106421,-0.0014584547430128575,0.0067804731661285375
2026-03-16T12:18:36.583691+00:00,1773663516.583477,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.7724401028473,359.18531025216464,-0.0392266,0.0,170,0.17,255,0,1,1,98,True,0,0,-0.0,-0.0,-0.006430543783533852,-0.0008536812740903665,0.006486961158329717
2026-03-16T12:18:36.685772+00:00,1773663516.685524,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.882843446575,359.1853747124426,-0.04903325,0.00980665,166,0.166,255,0,1,1,98,True,0,0,-0.0,-0.0,-0.006936114959325129,0.0001324753309703765,0.006937379940747771
2026-03-16T12:18:36.785829+00:00,1773663516.785645,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1001.8724164179092,359.1857802702407,-0.0588399,0.0,170,0.17,255,0,1,1,98,True,0,0,-0.0,-0.0,-0.0078072486078056905,0.00013158943159032705,0.007808357484297844
2026-03-16T12:18:36.886158+00:00,1773663516.885977,True,False,,,,,,,,,,,,,,,,,,,,,,,12.887817833333335,77.6430275,1002.0570375860129,359.1867713788315,-0.0392266,0.0,167,0.167,255,0,1,1,101,True,0,0,-0.0,-0.0,-0.007150680130758821,0.00011414793995914965,0.007151591157541509
